,precision,recall,f1-score,support
organic,0.0,0.0,0.0,0.0
recyclable,1.0,0.9799945931332793,0.9898962315674494,3699.0
accuracy,0.9799945931332793,0.9799945931332793,0.9799945931332793,0.9799945931332793
macro avg,0.5,0.48999729656663965,0.4949481157837247,3699.0
weighted avg,1.0,0.9799945931332793,0.9898962315674494,3699.0
