learning_rate,top2_accuracy,val_accuracy,loss,val_top2_accuracy,accuracy,val_loss
0.0010000000474974513,1.0,0.912715494632721,0.30412283539772034,1.0,0.8915230631828308,0.22497552633285522
0.0010000000474974513,1.0,0.9102909564971924,0.24646034836769104,1.0,0.9072510600090027,0.2432107776403427
0.0010000000474974513,1.0,0.9084051847457886,0.23798879981040955,1.0,0.9166184663772583,0.2500324845314026
0.00020000000949949026,1.0,0.9224137663841248,0.2119588851928711,1.0,0.9219382405281067,0.20379053056240082
0.00020000000949949026,1.0,0.9213362336158752,0.20023126900196075,1.0,0.9232103824615479,0.2117144763469696
0.00020000000949949026,1.0,0.9261853694915771,0.19631578028202057,1.0,0.9252920150756836,0.19818700850009918
0.00020000000949949026,1.0,0.931034505367279,0.19736969470977783,1.0,0.9244246482849121,0.18224141001701355
0.00020000000949949026,1.0,0.931303858757019,0.19315725564956665,1.0,0.9270266890525818,0.1801823079586029
0.00020000000949949026,1.0,0.9296875,0.1921015828847885,1.0,0.9263328313827515,0.18954721093177795
0.00020000000949949026,1.0,0.9304956793785095,0.19345489144325256,1.0,0.9267954230308533,0.1821834295988083
4.0000002627493814e-05,1.0,0.9224137663841248,0.18470893800258636,1.0,0.9278940558433533,0.19384576380252838
4.0000002627493814e-05,1.0,0.9256465435028076,0.18317605555057526,1.0,0.9279518723487854,0.18836694955825806
9.999999747378752e-06,1.0,0.9350754022598267,0.23069041967391968,1.0,0.9157510995864868,0.18139097094535828
9.999999747378752e-06,1.0,0.9485452771186829,0.18214857578277588,1.0,0.931710422039032,0.1356159746646881
9.999999747378752e-06,1.0,0.9525862336158752,0.15311798453330994,1.0,0.942986011505127,0.12574496865272522
9.999999747378752e-06,1.0,0.9577047228813171,0.1385699063539505,1.0,0.948594868183136,0.11193973571062088
9.999999747378752e-06,1.0,0.967402994632721,0.12181981652975082,1.0,0.9532786011695862,0.08882958441972733
9.999999747378752e-06,1.0,0.967133641242981,0.11153152585029602,1.0,0.9579044580459595,0.09511446952819824
9.999999747378752e-06,1.0,0.9644396305084229,0.09436753392219543,1.0,0.963918149471283,0.09826475381851196
1.9999999949504854e-06,1.0,0.96875,0.08657585829496384,1.0,0.9675031900405884,0.08783270418643951
1.9999999949504854e-06,1.0,0.9706357717514038,0.08446182310581207,1.0,0.9688909649848938,0.08190186321735382
1.9999999949504854e-06,1.0,0.9725215435028076,0.08436928689479828,1.0,0.9683705568313599,0.07756209373474121
1.9999999949504854e-06,1.0,0.9725215435028076,0.07934930920600891,1.0,0.9701630473136902,0.08030100166797638
1.9999999949504854e-06,1.0,0.9717133641242981,0.07852162420749664,1.0,0.9707412719726562,0.08019901067018509
