,precision,recall,f1-score,support
organic,0.0,0.0,0.0,0.0
recyclable,1.0,0.9705325763719924,0.985045959665249,3699.0
accuracy,0.9705325763719924,0.9705325763719924,0.9705325763719924,0.9705325763719924
macro avg,0.5,0.4852662881859962,0.4925229798326245,3699.0
weighted avg,1.0,0.9705325763719924,0.985045959665249,3699.0
