,precision,recall,f1-score,support
organic,0.0,0.0,0.0,0.0
recyclable,1.0,0.9781021897810219,0.988929889298893,3699.0
accuracy,0.9781021897810219,0.9781021897810219,0.9781021897810219,0.9781021897810219
macro avg,0.5,0.48905109489051096,0.4944649446494465,3699.0
weighted avg,1.0,0.9781021897810219,0.988929889298893,3699.0
