learning_rate,top2_accuracy,val_accuracy,loss,val_top2_accuracy,accuracy,val_loss
0.0010000000474974513,1.0,0.9434267282485962,0.2745168209075928,1.0,0.9009482860565186,0.1682930290699005
0.0010000000474974513,1.0,0.9418103694915771,0.21696478128433228,1.0,0.923846423625946,0.16871915757656097
0.0010000000474974513,1.0,0.9143319129943848,0.21011734008789062,1.0,0.9269110560417175,0.2418643981218338
0.00020000000949949026,1.0,0.9410021305084229,0.18338604271411896,1.0,0.9326934218406677,0.16847431659698486
0.00020000000949949026,1.0,0.946928858757019,0.17477458715438843,1.0,0.9340811967849731,0.15922671556472778
0.00020000000949949026,1.0,0.935883641242981,0.1719421148300171,1.0,0.9365097880363464,0.17371051013469696
0.00020000000949949026,1.0,0.9461206793785095,0.16808974742889404,1.0,0.9391118288040161,0.1495359241962433
0.00020000000949949026,1.0,0.9520474076271057,0.16637204587459564,1.0,0.9385914206504822,0.14338207244873047
0.00020000000949949026,1.0,0.9428879022598267,0.16564565896987915,1.0,0.9377818703651428,0.16135089099407196
0.00020000000949949026,1.0,0.9463900923728943,0.16520312428474426,1.0,0.9403261542320251,0.15369194746017456
4.0000002627493814e-05,1.0,0.9471982717514038,0.1562909185886383,1.0,0.9403261542320251,0.15247465670108795
4.0000002627493814e-05,1.0,0.9490840435028076,0.1558736264705658,1.0,0.939054012298584,0.1457902491092682
9.999999747378752e-06,1.0,0.9582435488700867,0.16947656869888306,1.0,0.9369723796844482,0.12303724884986877
9.999999747378752e-06,1.0,0.9676724076271057,0.1291513293981552,1.0,0.951428234577179,0.09295105189085007
9.999999747378752e-06,1.0,0.9682112336158752,0.09955309331417084,1.0,0.9612582325935364,0.08376710116863251
9.999999747378752e-06,1.0,0.9733297228813171,0.07617262750864029,1.0,0.9710304141044617,0.07067262381315231
9.999999747378752e-06,1.0,0.974946141242981,0.0573740191757679,1.0,0.979183554649353,0.06778406351804733
9.999999747378752e-06,1.0,0.9797952771186829,0.04158917814493179,1.0,0.9849658608436584,0.059181369841098785
9.999999747378752e-06,1.0,0.9792564511299133,0.03110058419406414,1.0,0.9902278184890747,0.06961655616760254
9.999999747378752e-06,1.0,0.9851831793785095,0.023431016132235527,1.0,0.9929455518722534,0.050743330270051956
9.999999747378752e-06,1.0,0.9800646305084229,0.016755105927586555,1.0,0.9956054091453552,0.0674884021282196
9.999999747378752e-06,1.0,0.9849137663841248,0.013689488172531128,1.0,0.9955475926399231,0.05845782160758972
1.9999999949504854e-06,1.0,0.9849137663841248,0.010540078394114971,1.0,0.9971088171005249,0.06111535057425499
1.9999999949504854e-06,1.0,0.9854525923728943,0.009217376820743084,1.0,0.9972822666168213,0.0627293586730957
