,precision,recall,f1-score,support
organic,0.0,0.0,0.0,0.0
recyclable,1.0,0.9902676399026764,0.9951100244498777,3699.0
accuracy,0.9902676399026764,0.9902676399026764,0.9902676399026764,0.9902676399026764
macro avg,0.5,0.4951338199513382,0.49755501222493886,3699.0
weighted avg,1.0,0.9902676399026764,0.9951100244498777,3699.0
