,precision,recall,f1-score,support
organic,0.0,0.0,0.0,0.0
recyclable,1.0,0.9867531765341985,0.9933324261804327,3699.0
accuracy,0.9867531765341985,0.9867531765341985,0.9867531765341985,0.9867531765341985
macro avg,0.5,0.49337658826709924,0.49666621309021636,3699.0
weighted avg,1.0,0.9867531765341985,0.9933324261804327,3699.0
