learning_rate,top2_accuracy,val_accuracy,loss,val_top2_accuracy,accuracy,val_loss
0.0010000000474974513,1.0,0.8857758641242981,0.33285894989967346,1.0,0.8667168021202087,0.2956470549106598
0.0010000000474974513,1.0,0.8987069129943848,0.24488964676856995,1.0,0.9058054685592651,0.2676018476486206
0.0010000000474974513,1.0,0.8898168206214905,0.23979954421520233,1.0,0.9107204675674438,0.2881254255771637
0.0010000000474974513,1.0,0.8849676847457886,0.24137498438358307,1.0,0.9081184267997742,0.2905598282814026
0.00020000000949949026,1.0,0.8943965435028076,0.23016515374183655,1.0,0.9113565683364868,0.2718322277069092
0.00020000000949949026,1.0,0.8914331793785095,0.22860892117023468,1.0,0.9145946502685547,0.27559539675712585
9.999999747378752e-06,1.0,0.9348060488700867,0.20208722352981567,1.0,0.9228634238243103,0.17799720168113708
9.999999747378752e-06,1.0,0.9474676847457886,0.16028369963169098,1.0,0.9392852783203125,0.15182210505008698
9.999999747378752e-06,1.0,0.9418103694915771,0.13395275175571442,1.0,0.9495778679847717,0.15085089206695557
9.999999747378752e-06,1.0,0.9606680870056152,0.11257344484329224,1.0,0.9581357836723328,0.12016487866640091
9.999999747378752e-06,1.0,0.9714439511299133,0.10152991116046906,1.0,0.9626460075378418,0.08255027234554291
9.999999747378752e-06,1.0,0.975215494632721,0.08396366983652115,1.0,0.9699895977973938,0.07043246924877167
9.999999747378752e-06,1.0,0.9630926847457886,0.0723421573638916,1.0,0.9743841886520386,0.1050710678100586
9.999999747378752e-06,1.0,0.9722521305084229,0.06424713879823685,1.0,0.9780848622322083,0.0855034738779068
1.9999999949504854e-06,1.0,0.9746767282485962,0.05395842343568802,1.0,0.9825372695922852,0.07628525048494339
1.9999999949504854e-06,1.0,0.9746767282485962,0.05137321352958679,1.0,0.9830577373504639,0.07340946793556213
