model,accuracy,precision_weighted,recall_weighted,f1_weighted,roc_auc,train_accuracy,val_accuracy
ResNet50,0.9902676399026764,1.0,0.9902676399026764,0.9951100244498777,,0.9912108245634325,0.9851831896551724
VGG16,0.9867531765341985,1.0,0.9867531765341985,0.9933324261804327,,0.9776801202729271,0.9752155172413793
Xception,0.9799945931332793,1.0,0.9799945931332793,0.9898962315674494,,0.978374002544235,0.9725215517241379
InceptionV3,0.9781021897810219,1.0,0.9781021897810219,0.988929889298893,,0.9802243552677229,0.9749461206896551
MobileNetV2,0.9748580697485807,1.0,0.9748580697485807,0.9872689938398358,,0.9690644154041864,0.9568965517241379
DenseNet121,0.9705325763719924,1.0,0.9705325763719924,0.985045959665249,,0.9638602983693767,0.9523168103448276
NASNetMobile,0.9662070829954041,1.0,0.9662070829954041,0.982813144507081,,0.9667514744998266,0.9568965517241379
EfficientNetB0,0.9648553663152203,1.0,0.9648553663152203,0.9821133736929004,,0.9753093558459581,0.9652478448275862
