learning_rate,top2_accuracy,val_accuracy,loss,val_top2_accuracy,accuracy,val_loss
0.0010000000474974513,1.0,0.8941271305084229,0.3077547550201416,1.0,0.8839482069015503,0.2775789499282837
0.0010000000474974513,1.0,0.8768857717514038,0.23929166793823242,1.0,0.9072510600090027,0.3360830843448639
0.0010000000474974513,1.0,0.8860452771186829,0.23044979572296143,1.0,0.9139007925987244,0.29941436648368835
0.00020000000949949026,1.0,0.8957435488700867,0.2242373824119568,1.0,0.9141320586204529,0.27996790409088135
0.00020000000949949026,1.0,0.9024784564971924,0.21118466556072235,1.0,0.9191048741340637,0.2612498104572296
0.00020000000949949026,1.0,0.9054418206214905,0.2093070149421692,1.0,0.9207239747047424,0.25619128346443176
0.00020000000949949026,1.0,0.9030172228813171,0.20897336304187775,1.0,0.9213021993637085,0.2584182322025299
0.00020000000949949026,1.0,0.9038254022598267,0.21060878038406372,1.0,0.9192205667495728,0.2580384314060211
4.0000002627493814e-05,1.0,0.9040948152542114,0.20387600362300873,1.0,0.9230368733406067,0.2550170421600342
4.0000002627493814e-05,1.0,0.904902994632721,0.20443765819072723,1.0,0.9237886071205139,0.2534107565879822
4.0000002627493814e-05,1.0,0.9016702771186829,0.2016087919473648,1.0,0.9216490983963013,0.2658630311489105
4.0000002627493814e-05,1.0,0.9092133641242981,0.20303229987621307,1.0,0.9224008321762085,0.2456677109003067
9.999999747378752e-06,1.0,0.7448814511299133,0.23942016065120697,1.0,0.9055163860321045,0.83036869764328
9.999999747378752e-06,1.0,0.7879849076271057,0.21162021160125732,1.0,0.9182953834533691,0.6242465972900391
9.999999747378752e-06,1.0,0.8391702771186829,0.18977779150009155,1.0,0.9267376065254211,0.42733803391456604
9.999999747378752e-06,1.0,0.8653017282485962,0.18086916208267212,1.0,0.9300335645675659,0.3375859558582306
9.999999747378752e-06,1.0,0.8723060488700867,0.1691259741783142,1.0,0.9355267882347107,0.31345677375793457
9.999999747378752e-06,1.0,0.9005926847457886,0.15811434388160706,1.0,0.93963223695755,0.2501499056816101
9.999999747378752e-06,1.0,0.920527994632721,0.1492762267589569,1.0,0.9439111948013306,0.20563997328281403
9.999999747378752e-06,1.0,0.928340494632721,0.14179816842079163,1.0,0.9457615613937378,0.1845191866159439
9.999999747378752e-06,1.0,0.9318426847457886,0.13620565831661224,1.0,0.949230968952179,0.17586222290992737
9.999999747378752e-06,1.0,0.9339978694915771,0.1306716501712799,1.0,0.9502717852592468,0.17254170775413513
9.999999747378752e-06,1.0,0.9509698152542114,0.12693358957767487,1.0,0.9511391520500183,0.13527248799800873
9.999999747378752e-06,1.0,0.9568965435028076,0.12063749879598618,1.0,0.9553602337837219,0.12015339732170105
