,precision,recall,f1-score,support
organic,0.0,0.0,0.0,0.0
recyclable,1.0,0.9662070829954041,0.982813144507081,3699.0
accuracy,0.9662070829954041,0.9662070829954041,0.9662070829954041,0.9662070829954041
macro avg,0.5,0.48310354149770207,0.4914065722535405,3699.0
weighted avg,1.0,0.9662070829954041,0.982813144507081,3699.0
