,precision,recall,f1-score,support
organic,0.0,0.0,0.0,0.0
recyclable,1.0,0.9748580697485807,0.9872689938398357,3699.0
accuracy,0.9748580697485807,0.9748580697485807,0.9748580697485807,0.9748580697485807
macro avg,0.5,0.48742903487429035,0.49363449691991784,3699.0
weighted avg,1.0,0.9748580697485807,0.9872689938398358,3699.0
