learning_rate,top2_accuracy,val_accuracy,loss,val_top2_accuracy,accuracy,val_loss
0.0010000000474974513,1.0,0.9197198152542114,0.2835437059402466,1.0,0.8945876955986023,0.21462427079677582
0.0010000000474974513,1.0,0.931303858757019,0.21636395156383514,1.0,0.9201456904411316,0.18246981501579285
0.0010000000474974513,1.0,0.931303858757019,0.20884393155574799,1.0,0.9208396077156067,0.177649587392807
0.0010000000474974513,1.0,0.938847005367279,0.20876380801200867,1.0,0.9237886071205139,0.1772538274526596
0.0010000000474974513,1.0,0.9226831793785095,0.20695599913597107,1.0,0.921533465385437,0.2056543380022049
0.0010000000474974513,1.0,0.9415409564971924,0.20909790694713593,1.0,0.9213021993637085,0.1519017219543457
0.0010000000474974513,1.0,0.9189116358757019,0.20716740190982819,1.0,0.9247716069221497,0.21590711176395416
0.0010000000474974513,1.0,0.921875,0.206279918551445,1.0,0.9218226075172424,0.20007845759391785
0.00020000000949949026,1.0,0.9350754022598267,0.1892944872379303,1.0,0.9294552803039551,0.16333752870559692
0.00020000000949949026,1.0,0.9339978694915771,0.18392784893512726,1.0,0.9290505647659302,0.17175175249576569
9.999999747378752e-06,1.0,0.931034505367279,0.26066017150878906,1.0,0.90071702003479,0.18008503317832947
9.999999747378752e-06,1.0,0.943696141242981,0.22142158448696136,1.0,0.9137272834777832,0.15356816351413727
9.999999747378752e-06,1.0,0.9480064511299133,0.20041948556900024,1.0,0.9241355657577515,0.1347985565662384
9.999999747378752e-06,1.0,0.9507004022598267,0.18236862123012543,1.0,0.9298022389411926,0.13209545612335205
9.999999747378752e-06,1.0,0.9504310488700867,0.17044515907764435,1.0,0.9354110956192017,0.13464775681495667
9.999999747378752e-06,1.0,0.9550107717514038,0.16515152156352997,1.0,0.940152645111084,0.12280455976724625
9.999999747378752e-06,1.0,0.954741358757019,0.15455274283885956,1.0,0.9425812363624573,0.1206217035651207
9.999999747378752e-06,1.0,0.9609375,0.14479228854179382,1.0,0.9459928274154663,0.10516293346881866
9.999999747378752e-06,1.0,0.9585129022598267,0.13843227922916412,1.0,0.9478431940078735,0.10937084257602692
9.999999747378752e-06,1.0,0.9612069129943848,0.12916743755340576,1.0,0.9496356844902039,0.1019907146692276
9.999999747378752e-06,1.0,0.9655172228813171,0.12178602069616318,1.0,0.9533942341804504,0.09387467801570892
9.999999747378752e-06,1.0,0.9652478694915771,0.12128335982561111,1.0,0.954319417476654,0.09329742193222046
