,precision,recall,f1-score,support
organic,0.0,0.0,0.0,0.0
recyclable,1.0,0.9648553663152203,0.9821133736929004,3699.0
accuracy,0.9648553663152203,0.9648553663152203,0.9648553663152203,0.9648553663152203
macro avg,0.5,0.48242768315761014,0.4910566868464502,3699.0
weighted avg,1.0,0.9648553663152203,0.9821133736929004,3699.0
